cryptocurrency_metrics_id,cryptocurrency_id,total_supply,total_borrow,supply_apy,date,time,day_of_week
1,4,7070000,1800000,1.86,2022-09-15,23:00:22,Wed
2,5,23960000,7680000,2.95,2022-09-15,23:00:22,Wed
3,6,8690000,2210000,1.85,2022-09-15,23:00:22,Wed
4,1,2928034,1846008,2.72,2022-09-15,23:00:26,Wed
5,2,97230768,61536145,3.67,2022-09-15,23:00:26,Wed
6,3,28758527,16670446,3.07,2022-09-15,23:00:26,Wed
7,7,6280000,1480000,1.40,2022-09-15,23:00:29,Wed
8,8,18610000,4430000,1.71,2022-09-15,23:00:29,Wed
9,9,10720000,2030000,1.08,2022-09-15,23:00:29,Wed
10,4,6970000,1780000,1.86,2022-09-15,23:15:21,Wed
11,5,23960000,7680000,2.96,2022-09-15,23:15:21,Wed
12,6,8690000,2210000,1.85,2022-09-15,23:15:21,Wed
13,7,6210000,1460000,1.40,2022-09-15,23:15:29,Wed
14,8,18610000,4430000,1.71,2022-09-15,23:15:29,Wed
15,9,10720000,2030000,1.08,2022-09-15,23:15:29,Wed
16,1,2928036,1846010,2.72,2022-09-15,23:15:29,Wed
17,2,97229017,61536241,3.67,2022-09-15,23:15:29,Wed
18,3,28658549,16670468,3.09,2022-09-15,23:15:29,Wed
19,4,7010000,1790000,1.86,2022-09-15,23:30:26,Wed
20,5,23940000,7720000,2.99,2022-09-15,23:30:26,Wed
21,6,8690000,2210000,1.85,2022-09-15,23:30:26,Wed
22,1,2929309,1846012,2.72,2022-09-15,23:30:29,Wed
23,2,97230142,61536340,3.67,2022-09-15,23:30:29,Wed
24,3,28617432,16670654,3.10,2022-09-15,23:30:29,Wed
25,7,6220000,1470000,1.40,2022-09-15,23:30:31,Wed
26,8,18610000,4430000,1.71,2022-09-15,23:30:31,Wed
27,9,10720000,2030000,1.08,2022-09-15,23:30:31,Wed
28,4,6990000,1780000,1.86,2022-09-15,23:45:25,Wed
29,5,23940000,7720000,2.99,2022-09-15,23:45:25,Wed
30,6,8690000,2210000,1.85,2022-09-15,23:45:25,Wed
31,1,2929276,1846009,2.72,2022-09-15,23:45:30,Wed
32,2,97410497,61536413,3.66,2022-09-15,23:45:30,Wed
33,3,28618458,16670524,3.10,2022-09-15,23:45:30,Wed
34,7,6210000,1460000,1.40,2022-09-15,23:45:30,Wed
35,8,18610000,4430000,1.71,2022-09-15,23:45:30,Wed
36,9,10720000,2030000,1.08,2022-09-15,23:45:30,Wed
37,4,7000000,1790000,1.86,2022-09-15,00:00:26,Thu
38,5,23940000,7720000,2.99,2022-09-15,00:00:26,Thu
39,6,8690000,2210000,1.85,2022-09-15,00:00:26,Thu
40,1,2929278,1846012,2.72,2022-09-15,00:00:30,Thu
41,2,97394532,61536519,3.66,2022-09-15,00:00:30,Thu
42,3,28619433,16669501,3.10,2022-09-15,00:00:30,Thu
43,7,6210000,1460000,1.40,2022-09-15,00:00:32,Thu
44,8,18610000,4430000,1.71,2022-09-15,00:00:32,Thu
45,9,10720000,2030000,1.08,2022-09-15,00:00:32,Thu
46,4,6980000,1780000,1.86,2022-09-15,00:15:21,Thu
47,5,23940000,7720000,2.99,2022-09-15,00:15:21,Thu
48,6,8690000,2210000,1.85,2022-09-15,00:15:21,Thu
49,7,6210000,1470000,1.40,2022-09-15,00:15:27,Thu
50,8,18610000,4430000,1.71,2022-09-15,00:15:27,Thu
51,9,10720000,2030000,1.08,2022-09-15,00:15:27,Thu
52,1,2929281,1846014,2.72,2022-09-15,00:15:27,Thu
53,2,97384202,61536622,3.66,2022-09-15,00:15:27,Thu
54,3,28619713,16669527,3.10,2022-09-15,00:15:27,Thu
55,4,6980000,1780000,1.86,2022-09-15,00:30:23,Thu
56,5,23940000,7720000,2.99,2022-09-15,00:30:23,Thu
57,6,8690000,2210000,1.85,2022-09-15,00:30:23,Thu
58,7,6210000,1470000,1.40,2022-09-15,00:30:28,Thu
59,8,18610000,4430000,1.71,2022-09-15,00:30:28,Thu
60,9,10720000,2030000,1.08,2022-09-15,00:30:28,Thu
61,1,2929283,1846017,2.72,2022-09-15,00:30:29,Thu
62,2,97359726,61536727,3.66,2022-09-15,00:30:29,Thu
63,3,28619739,16669553,3.10,2022-09-15,00:30:29,Thu
64,4,6980000,1780000,1.86,2022-09-15,00:45:22,Thu
65,5,23940000,7710000,2.98,2022-09-15,00:45:22,Thu
66,6,8690000,2210000,1.86,2022-09-15,00:45:22,Thu
67,1,2929285,1845893,2.72,2022-09-15,00:45:26,Thu
68,2,97359275,61536882,3.66,2022-09-15,00:45:26,Thu
69,3,28619766,16669579,3.10,2022-09-15,00:45:26,Thu
70,7,6210000,1470000,1.40,2022-09-15,00:45:28,Thu
71,8,18610000,4430000,1.71,2022-09-15,00:45:28,Thu
72,9,10720000,2030000,1.08,2022-09-15,00:45:28,Thu
73,4,7000000,1790000,1.86,2022-09-15,01:00:24,Thu
74,5,23940000,7710000,2.98,2022-09-15,01:00:24,Thu
75,6,8690000,2210000,1.86,2022-09-15,01:00:24,Thu
76,1,2930639,1845895,2.71,2022-09-15,01:00:27,Thu
77,2,97318740,61554028,3.67,2022-09-15,01:00:27,Thu
78,3,28619706,16669605,3.10,2022-09-15,01:00:27,Thu
79,7,6210000,1470000,1.40,2022-09-15,01:00:30,Thu
80,8,18610000,4430000,1.71,2022-09-15,01:00:30,Thu
81,9,10720000,2030000,1.08,2022-09-15,01:00:30,Thu
82,4,7000000,1790000,1.86,2022-09-15,01:15:21,Thu
83,5,23940000,7710000,2.98,2022-09-15,01:15:21,Thu
84,6,8690000,2210000,1.86,2022-09-15,01:15:21,Thu
85,1,2930645,1845948,2.71,2022-09-15,01:15:24,Thu
86,2,97318914,61554135,3.67,2022-09-15,01:15:24,Thu
87,3,28619733,16669756,3.10,2022-09-15,01:15:24,Thu
88,7,6230000,1470000,1.40,2022-09-15,01:15:27,Thu
89,8,18610000,4430000,1.71,2022-09-15,01:15:27,Thu
90,9,10720000,2030000,1.08,2022-09-15,01:15:27,Thu
91,4,7020000,1790000,1.86,2022-09-15,01:30:23,Thu
92,5,23940000,7720000,2.99,2022-09-15,01:30:23,Thu
93,6,8690000,2210000,1.86,2022-09-15,01:30:23,Thu
94,1,2930594,1845950,2.71,2022-09-15,01:30:30,Thu
95,2,97305483,61554239,3.67,2022-09-15,01:30:30,Thu
96,3,28619747,16669782,3.10,2022-09-15,01:30:30,Thu
97,7,6230000,1470000,1.40,2022-09-15,01:30:31,Thu
98,8,18610000,4430000,1.71,2022-09-15,01:30:31,Thu
99,9,10720000,2030000,1.08,2022-09-15,01:30:31,Thu
100,4,7060000,1800000,1.86,2022-09-15,01:45:22,Thu
101,5,23940000,7720000,2.99,2022-09-15,01:45:22,Thu
102,6,8690000,2210000,1.86,2022-09-15,01:45:22,Thu
103,1,2930626,1845952,2.71,2022-09-15,01:45:25,Thu
104,2,97310100,61554484,3.67,2022-09-15,01:45:25,Thu
105,3,28619772,16670808,3.10,2022-09-15,01:45:25,Thu
106,7,6260000,1480000,1.40,2022-09-15,01:45:28,Thu
107,8,18610000,4430000,1.71,2022-09-15,01:45:28,Thu
108,9,10720000,2030000,1.08,2022-09-15,01:45:28,Thu
109,4,7040000,1800000,1.86,2022-09-15,02:00:23,Thu
110,5,23940000,7690000,2.97,2022-09-15,02:00:23,Thu
111,6,8690000,2250000,1.91,2022-09-15,02:00:23,Thu
112,7,6260000,1480000,1.40,2022-09-15,02:00:29,Thu
113,8,18610000,4430000,1.72,2022-09-15,02:00:29,Thu
114,9,10720000,2030000,1.08,2022-09-15,02:00:29,Thu
115,1,2930628,1849489,2.72,2022-09-15,02:00:30,Thu
116,2,97337378,61554585,3.66,2022-09-15,02:00:30,Thu
117,3,28664799,16674728,3.09,2022-09-15,02:00:30,Thu
118,4,6960000,1770000,1.85,2022-09-15,02:15:21,Thu
119,5,23940000,7670000,2.95,2022-09-15,02:15:21,Thu
120,6,8690000,2250000,1.91,2022-09-15,02:15:21,Thu
121,7,6180000,1460000,1.40,2022-09-15,02:15:27,Thu
122,8,18610000,4430000,1.71,2022-09-15,02:15:27,Thu
123,9,10720000,2030000,1.08,2022-09-15,02:15:27,Thu
124,1,2930600,1849491,2.72,2022-09-15,02:15:28,Thu
125,2,97521547,61554409,3.65,2022-09-15,02:15:28,Thu
126,3,28619821,16680758,3.10,2022-09-15,02:15:28,Thu
127,1,2930640,1849493,2.72,2022-09-15,02:30:28,Thu
128,2,97474572,61554506,3.65,2022-09-15,02:30:28,Thu
129,3,28618262,16680783,3.10,2022-09-15,02:30:28,Thu
130,4,7010000,1780000,1.85,2022-09-15,02:30:30,Thu
131,5,23940000,7670000,2.95,2022-09-15,02:30:30,Thu
132,6,8690000,2250000,1.91,2022-09-15,02:30:30,Thu
133,7,6230000,1470000,1.40,2022-09-15,02:30:43,Thu
134,8,18610000,4430000,1.72,2022-09-15,02:30:43,Thu
135,9,10720000,2030000,1.08,2022-09-15,02:30:43,Thu
136,4,7130000,1810000,1.85,2022-09-15,02:45:21,Thu
137,5,23940000,7670000,2.95,2022-09-15,02:45:21,Thu
138,6,8690000,2250000,1.91,2022-09-15,02:45:21,Thu
139,4,7300000,1860000,1.86,2022-09-15,03:53:25,Thu
140,5,23940000,7680000,2.95,2022-09-15,03:53:25,Thu
141,6,8690000,2250000,1.91,2022-09-15,03:53:25,Thu
142,1,2930258,1848962,2.72,2022-09-15,03:53:28,Thu
143,2,96590995,61543699,3.72,2022-09-15,03:53:28,Thu
144,3,27778422,16702367,3.31,2022-09-15,03:53:28,Thu
145,7,6410000,1450000,1.29,2022-09-15,03:53:31,Thu
146,8,18610000,4390000,1.68,2022-09-15,03:53:31,Thu
147,9,10720000,2030000,1.08,2022-09-15,03:53:31,Thu
148,4,7310000,1860000,1.86,2022-09-15,04:00:24,Thu
149,5,23940000,7680000,2.95,2022-09-15,04:00:24,Thu
150,6,8690000,2250000,1.91,2022-09-15,04:00:24,Thu
151,1,2930267,1848963,2.72,2022-09-15,04:00:28,Thu
152,2,96187221,61544038,3.75,2022-09-15,04:00:28,Thu
153,3,27778432,16702377,3.31,2022-09-15,04:00:28,Thu
154,7,6400000,1460000,1.31,2022-09-15,04:00:30,Thu
155,8,18610000,4390000,1.68,2022-09-15,04:00:30,Thu
156,9,10720000,2030000,1.08,2022-09-15,04:00:30,Thu
157,4,7310000,1860000,1.86,2022-09-15,04:15:23,Thu
158,5,23940000,7680000,2.95,2022-09-15,04:15:23,Thu
159,6,8690000,2250000,1.91,2022-09-15,04:15:23,Thu
160,7,6410000,1460000,1.31,2022-09-15,04:15:31,Thu
161,8,18610000,4390000,1.68,2022-09-15,04:15:31,Thu
162,9,10720000,2030000,1.08,2022-09-15,04:15:31,Thu
163,1,2929795,1848965,2.72,2022-09-15,04:15:31,Thu
164,2,96892582,61545053,3.70,2022-09-15,04:15:31,Thu
165,3,27758598,16659261,3.29,2022-09-15,04:15:31,Thu
166,4,7230000,1840000,1.86,2022-09-15,04:30:24,Thu
167,5,23950000,7680000,2.95,2022-09-15,04:30:24,Thu
168,6,8690000,2250000,1.91,2022-09-15,04:30:24,Thu
169,1,2929816,1848967,2.72,2022-09-15,04:30:29,Thu
170,2,97527821,61545384,3.65,2022-09-15,04:30:29,Thu
171,3,27693222,16546287,3.27,2022-09-15,04:30:29,Thu
172,7,6340000,1440000,1.31,2022-09-15,04:30:30,Thu
173,8,18610000,4390000,1.68,2022-09-15,04:30:30,Thu
