lending_protocol_metrics_id,lending_protocol_id,tvl,date,time,day_of_week
1,2,111560000,2022-09-15,23:00:22,Wed
2,1,245000000,2022-09-15,23:00:26,Wed
3,3,61816415,2022-09-15,23:00:29,Wed
4,2,111060000,2022-09-15,23:15:21,Wed
5,3,61497757,2022-09-15,23:15:29,Wed
6,1,242000000,2022-09-15,23:15:29,Wed
7,2,111170000,2022-09-15,23:30:26,Wed
8,1,243000000,2022-09-15,23:30:29,Wed
9,3,61584511,2022-09-15,23:30:31,Wed
10,2,111080000,2022-09-15,23:45:25,Wed
11,1,243000000,2022-09-15,23:45:30,Wed
12,3,61538888,2022-09-15,23:45:30,Wed
13,2,111100000,2022-09-15,00:00:26,Thu
14,1,243000000,2022-09-15,00:00:30,Thu
15,3,61544368,2022-09-15,00:00:32,Thu
16,2,111040000,2022-09-15,00:15:21,Thu
17,3,61543476,2022-09-15,00:15:27,Thu
18,1,243000000,2022-09-15,00:15:27,Thu
19,2,110980000,2022-09-15,00:30:23,Thu
20,3,61523831,2022-09-15,00:30:28,Thu
21,1,243000000,2022-09-15,00:30:29,Thu
22,2,110920000,2022-09-15,00:45:22,Thu
23,1,242000000,2022-09-15,00:45:26,Thu
24,3,61543187,2022-09-15,00:45:28,Thu
25,2,110960000,2022-09-15,01:00:24,Thu
26,1,243000000,2022-09-15,01:00:27,Thu
27,3,61562072,2022-09-15,01:00:30,Thu
28,2,110930000,2022-09-15,01:15:21,Thu
29,1,243000000,2022-09-15,01:15:24,Thu
30,3,61542258,2022-09-15,01:15:27,Thu
31,2,111040000,2022-09-15,01:30:23,Thu
32,1,244000000,2022-09-15,01:30:30,Thu
33,3,61597554,2022-09-15,01:30:31,Thu
34,2,111230000,2022-09-15,01:45:22,Thu
35,1,244000000,2022-09-15,01:45:25,Thu
36,3,61720004,2022-09-15,01:45:28,Thu
37,2,111260000,2022-09-15,02:00:23,Thu
38,3,61733087,2022-09-15,02:00:29,Thu
39,1,244000000,2022-09-15,02:00:30,Thu
40,2,110710000,2022-09-15,02:15:21,Thu
41,3,61395002,2022-09-15,02:15:27,Thu
42,1,242000000,2022-09-15,02:15:28,Thu
43,1,243000000,2022-09-15,02:30:28,Thu
44,2,110920000,2022-09-15,02:30:30,Thu
45,3,61527461,2022-09-15,02:30:43,Thu
46,2,112570000,2022-09-15,03:53:25,Thu
47,1,250000000,2022-09-15,03:53:28,Thu
48,3,62416993,2022-09-15,03:53:31,Thu
49,2,112620000,2022-09-15,04:00:24,Thu
50,1,250000000,2022-09-15,04:00:28,Thu
51,3,62440710,2022-09-15,04:00:30,Thu
52,2,112620000,2022-09-15,04:15:23,Thu
53,3,62447053,2022-09-15,04:15:31,Thu
54,1,251000000,2022-09-15,04:15:31,Thu
55,2,112240000,2022-09-15,04:30:24,Thu
56,1,249000000,2022-09-15,04:30:29,Thu
57,3,62180262,2022-09-15,04:30:30,Thu
58,2,111940000,2022-09-15,04:45:22,Thu
59,1,247000000,2022-09-15,04:45:24,Thu
60,3,61946235,2022-09-15,04:45:27,Thu
61,2,111980000,2022-09-15,05:00:25,Thu
62,1,248000000,2022-09-15,05:00:29,Thu
63,3,61965057,2022-09-15,05:00:30,Thu
64,2,111910000,2022-09-15,05:15:21,Thu
65,1,248000000,2022-09-15,05:15:29,Thu
66,3,62010767,2022-09-15,05:15:29,Thu
67,2,111860000,2022-09-15,05:30:27,Thu
68,1,247000000,2022-09-15,05:30:29,Thu
69,3,61948246,2022-09-15,05:30:32,Thu
70,2,111860000,2022-09-15,05:45:21,Thu
71,1,247000000,2022-09-15,05:45:27,Thu
72,3,61948728,2022-09-15,05:45:29,Thu
73,2,111790000,2022-09-15,06:00:22,Thu
74,3,61975754,2022-09-15,06:00:30,Thu
75,1,247000000,2022-09-15,06:00:31,Thu
76,2,111800000,2022-09-15,06:15:21,Thu
77,3,61991692,2022-09-15,06:15:28,Thu
78,1,248000000,2022-09-15,06:15:28,Thu
79,3,62189399,2022-09-15,06:30:28,Thu
80,1,248000000,2022-09-15,06:30:34,Thu
81,2,111830000,2022-09-15,06:45:22,Thu
82,1,247000000,2022-09-15,06:45:28,Thu
83,3,62159606,2022-09-15,06:45:34,Thu
84,2,111760000,2022-09-15,07:00:22,Thu
85,3,62118638,2022-09-15,07:00:28,Thu
86,1,247000000,2022-09-15,07:00:35,Thu
87,2,111800000,2022-09-15,07:15:23,Thu
88,1,247000000,2022-09-15,07:15:27,Thu
89,3,62119017,2022-09-15,07:15:30,Thu
90,2,111880000,2022-09-15,07:30:24,Thu
91,3,62239016,2022-09-15,07:30:29,Thu
92,1,245000000,2022-09-15,07:30:31,Thu
93,2,111880000,2022-09-15,07:45:22,Thu
94,3,62236288,2022-09-15,07:45:27,Thu
95,1,250000000,2022-09-15,07:45:28,Thu
96,2,111920000,2022-09-15,08:00:24,Thu
97,3,62241149,2022-09-15,08:00:29,Thu
98,1,250000000,2022-09-15,08:00:31,Thu
99,2,111940000,2022-09-15,08:15:23,Thu
100,3,62248800,2022-09-15,08:15:30,Thu
101,1,250000000,2022-09-15,08:15:30,Thu
102,2,110390000,2022-09-15,12:02:16,Thu
103,1,246000000,2022-09-15,12:02:21,Thu
104,3,61558398,2022-09-15,12:02:21,Thu
105,2,110360000,2022-09-15,12:15:36,Thu
106,1,245000000,2022-09-15,12:15:43,Thu
107,3,61538142,2022-09-15,12:15:44,Thu
108,2,110650000,2022-09-15,12:30:39,Thu
109,1,247000000,2022-09-15,12:30:46,Thu
110,2,110810000,2022-09-15,12:45:34,Thu
111,3,61827246,2022-09-15,12:45:40,Thu
112,1,247000000,2022-09-15,12:45:44,Thu
113,2,110820000,2022-09-15,13:00:41,Thu
114,3,61760765,2022-09-15,13:00:45,Thu
115,1,247000000,2022-09-15,13:00:46,Thu
116,2,110920000,2022-09-15,13:15:35,Thu
117,1,247000000,2022-09-15,13:15:40,Thu
118,3,61805681,2022-09-15,13:15:42,Thu
119,2,111000000,2022-09-15,13:45:35,Thu
120,1,245000000,2022-09-15,13:45:36,Thu
121,3,61939153,2022-09-15,13:45:41,Thu
122,2,110980000,2022-09-15,14:00:36,Thu
123,1,248000000,2022-09-15,14:00:42,Thu
124,3,61904166,2022-09-15,14:00:44,Thu
125,2,110880000,2022-09-15,14:15:35,Thu
126,3,61845659,2022-09-15,14:15:43,Thu
127,1,248000000,2022-09-15,14:15:45,Thu
128,2,110970000,2022-09-15,14:30:38,Thu
129,1,249000000,2022-09-15,14:30:44,Thu
130,3,61966812,2022-09-15,14:30:45,Thu
131,2,111040000,2022-09-15,14:45:35,Thu
132,1,248000000,2022-09-15,14:45:42,Thu
133,3,62027990,2022-09-15,14:45:43,Thu
134,2,110900000,2022-09-15,15:00:38,Thu
135,1,247000000,2022-09-15,15:00:43,Thu
136,3,61934966,2022-09-15,15:00:44,Thu
137,2,110840000,2022-09-15,15:15:36,Thu
138,3,61894855,2022-09-15,15:15:41,Thu
139,1,247000000,2022-09-15,15:15:43,Thu
140,2,110770000,2022-09-15,15:30:34,Thu
141,3,61865730,2022-09-15,15:30:42,Thu
142,1,247000000,2022-09-15,15:30:46,Thu
143,2,110930000,2022-09-15,15:45:35,Thu
144,3,61911726,2022-09-15,15:45:42,Thu
145,1,248000000,2022-09-15,15:45:46,Thu
146,2,111140000,2022-09-15,16:00:38,Thu
147,3,61988161,2022-09-15,16:00:44,Thu
148,1,248000000,2022-09-15,16:00:44,Thu
149,2,111230000,2022-09-15,16:15:34,Thu
150,1,244000000,2022-09-15,16:15:40,Thu
151,3,62115034,2022-09-15,16:15:41,Thu
152,2,111170000,2022-09-15,16:30:39,Thu
153,3,62089765,2022-09-15,16:30:47,Thu
154,1,243000000,2022-09-15,16:30:48,Thu
155,2,111070000,2022-09-15,16:45:40,Thu
156,3,62023005,2022-09-15,16:45:47,Thu
157,1,243000000,2022-09-15,16:45:51,Thu
158,2,111120000,2022-09-15,17:00:40,Thu
159,1,244000000,2022-09-15,17:00:45,Thu
160,3,62054089,2022-09-15,17:00:46,Thu
161,2,73300000,2022-09-15,17:15:36,Thu
162,1,244000000,2022-09-15,17:15:41,Thu
163,3,62063379,2022-09-15,17:15:42,Thu
164,2,111090000,2022-09-15,17:30:38,Thu
165,1,244000000,2022-09-15,17:30:43,Thu
166,3,62004284,2022-09-15,17:30:44,Thu
167,2,111030000,2022-09-15,17:45:35,Thu
168,3,61966672,2022-09-15,17:45:41,Thu
169,1,244000000,2022-09-15,17:45:44,Thu
170,2,110910000,2022-09-15,18:00:36,Thu
171,3,61867711,2022-09-15,18:00:42,Thu
172,1,244000000,2022-09-15,18:00:45,Thu
173,2,110800000,2022-09-15,18:15:34,Thu
174,3,61810682,2022-09-15,18:15:41,Thu
175,1,244000000,2022-09-15,18:15:43,Thu
176,2,110790000,2022-09-15,18:30:35,Thu
